flight_id,airline,source,destination,departure_time,arrival_time,duration_hours,overnight_flag,route
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,2.45,True,BLR - BOM
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,1.83,False,HYD - MAA
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,3.27,True,CCU - DEL
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,1.88,False,DEL - HYD
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,1.07,False,HYD - CCU
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,1.1,False,BLR - BOM
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,0.92,False,CCU - DEL
UK003,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,4.63,True,HYD - DEL
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,2.1,False,HYD - MAA
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,0.67,False,DEL - HYD
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,3.43,True,BOM - CCU
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,2.0,False,HYD - MAA
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,3.45,True,BLR - BOM
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,1.85,False,CCU - DEL
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,1.27,False,BOM - MAA
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,0.62,False,HYD - BOM
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,4.63,True,HYD - BOM
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,1.38,False,DEL - CCU
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,3.32,False,BOM - DEL
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,1.62,False,HYD - MAA
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,4.78,True,BOM - MAA
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,4.0,True,CCU - DEL
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,0.62,False,MAA - HYD
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,1.63,False,BOM - DEL
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,2.77,False,CCU - HYD
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,0.83,False,BOM - MAA
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,3.5,False,DEL - HYD
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,4.57,True,DEL - MAA
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,0.7,False,MAA - CCU
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,2.0,False,HYD - CCU
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,4.4,True,CCU - BLR
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,0.75,False,MAA - BLR
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,2.33,False,CCU - HYD
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,1.38,False,MAA - BLR
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,4.82,True,MAA - BLR
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,2.15,False,BLR - BOM
UK209,Vistara,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,2.75,False,MAA - BLR
SJ043,SpiceJet,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,2.15,False,MAA - DEL
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,4.13,False,HYD - BLR
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,3.23,False,MAA - HYD
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,0.5,False,DEL - CCU
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,2.18,False,BOM - HYD
6F270,IndiGo,HYD,MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,0.8,False,HYD - MAA
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,3.42,False,CCU - HYD
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,3.98,False,MAA - BOM
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,2.75,False,BLR - CCU
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,0.57,False,BOM - CCU
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,2.78,False,MAA - HYD
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,2.2,False,BOM - DEL
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,1.48,False,HYD - CCU
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,1.7,False,HYD - MAA
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,2.82,False,BOM - CCU
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,1.78,False,CCU - HYD
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,1.43,False,BOM - HYD
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,4.27,False,MAA - BLR
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,1.82,False,BOM - BLR
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,4.02,False,CCU - HYD
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,1.83,False,BLR - BOM
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,2.72,False,HYD - DEL
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,2.7,False,MAA - DEL
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,1.95,False,BOM - DEL
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,2.07,False,BLR - BOM
AI242,Air India,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,1.03,False,BLR - CCU
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,2.47,False,BOM - CCU
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,1.97,False,BOM - CCU
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,1.2,False,DEL - BOM
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,1.68,False,BLR - MAA
UK224,Vistara,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,3.98,False,CCU - MAA
UK077,Vistara,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,1.63,False,HYD - BOM
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,1.25,False,MAA - CCU
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,2.6,False,MAA - HYD
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,1.0,False,BLR - BOM
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,4.2,False,BOM - HYD
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,0.97,False,BLR - CCU
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,4.1,False,BOM - DEL
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,3.5,False,BOM - HYD
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,1.28,False,BLR - BOM
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,1.77,False,DEL - HYD
6F017,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,2.68,False,CCU - BOM
6F245,IndiGo,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,2.68,False,CCU - BOM
6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,4.4,False,MAA - BLR
6F152,IndiGo,CCU,DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,2.07,False,CCU - DEL
SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,4.85,False,MAA - BOM
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,1.7,False,CCU - BOM
UK189,Vistara,BLR,MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,3.73,False,BLR - MAA
SJ044,SpiceJet,DEL,CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,2.62,False,DEL - CCU
SJ196,SpiceJet,DEL,HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,2.77,False,DEL - HYD
6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,4.7,False,DEL - HYD
6F181,IndiGo,BOM,MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,1.8,False,BOM - MAA
6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,4.3,False,CCU - DEL
SJ154,SpiceJet,BLR,HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,1.65,False,BLR - HYD
AI025,Air India,HYD,DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,2.42,False,HYD - DEL
AI094,Air India,DEL,BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,1.0,False,DEL - BLR
6F191,IndiGo,BLR,DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,0.5,False,BLR - DEL
SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,4.5,False,BLR - MAA
6F261,IndiGo,CCU,DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,2.97,False,CCU - DEL
6F129,IndiGo,DEL,CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,2.32,False,DEL - CCU
6F254,IndiGo,MAA,BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,3.58,False,MAA - BLR
SJ185,SpiceJet,BOM,CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,1.0,False,BOM - CCU
6F030,IndiGo,BOM,DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,2.83,False,BOM - DEL
SJ222,SpiceJet,BOM,DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,2.9,False,BOM - DEL
6F259,IndiGo,BOM,DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,1.18,False,BOM - DEL
UK083,Vistara,DEL,HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,0.82,False,DEL - HYD
6F051,IndiGo,BLR,BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,2.0,False,BLR - BOM
SJ088,SpiceJet,CCU,MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,0.53,False,CCU - MAA
6F146,IndiGo,HYD,MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,1.27,False,HYD - MAA
6F047,IndiGo,MAA,DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,2.08,False,MAA - DEL
AI077,Air India,CCU,HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,1.1,False,CCU - HYD
UK134,Vistara,HYD,CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,3.7,False,HYD - CCU
AI056,Air India,DEL,MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,3.92,False,DEL - MAA
UK141,Vistara,HYD,MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,2.35,False,HYD - MAA
AI030,Air India,CCU,HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,3.32,False,CCU - HYD
AI029,Air India,MAA,DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,4.4,False,MAA - DEL
SJ167,SpiceJet,MAA,CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,0.9,False,MAA - CCU
UK017,Vistara,BLR,HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,1.58,False,BLR - HYD
6F229,IndiGo,MAA,DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,1.33,False,MAA - DEL
SJ117,SpiceJet,MAA,BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,3.93,False,MAA - BLR
6F184,IndiGo,MAA,BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,2.98,False,MAA - BOM
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,3.1,False,DEL - MAA
AI178,Air India,CCU,BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,0.98,False,CCU - BLR
SJ089,SpiceJet,HYD,CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,4.55,False,HYD - CCU
UK166,Vistara,HYD,MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,4.88,False,HYD - MAA
UK104,Vistara,DEL,BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,1.37,False,DEL - BOM
6F168,IndiGo,HYD,DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,3.67,False,HYD - DEL
AI222,Air India,BOM,DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,1.07,False,BOM - DEL
SJ025,SpiceJet,BOM,CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,3.45,False,BOM - CCU
6F255,IndiGo,DEL,BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,3.57,False,DEL - BOM
UK228,Vistara,DEL,MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,3.17,False,DEL - MAA
6F158,IndiGo,CCU,MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,4.1,False,CCU - MAA
SJ218,SpiceJet,DEL,HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,3.08,False,DEL - HYD
6F034,IndiGo,BOM,DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,0.93,False,BOM - DEL
UK156,Vistara,MAA,BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,4.07,False,MAA - BLR
6F105,IndiGo,BLR,BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,1.2,False,BLR - BOM
6F073,IndiGo,DEL,CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,3.67,False,DEL - CCU
SJ074,SpiceJet,DEL,CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,0.68,False,DEL - CCU
6F234,IndiGo,BOM,DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,2.85,False,BOM - DEL
6F068,IndiGo,BLR,HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,3.82,False,BLR - HYD
6F074,IndiGo,HYD,BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,3.33,False,HYD - BOM
AI038,Air India,HYD,MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,4.65,False,HYD - MAA
AI079,Air India,CCU,BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,2.25,False,CCU - BLR
SJ018,SpiceJet,BOM,CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,2.55,False,BOM - CCU
6F018,IndiGo,DEL,BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,0.77,False,DEL - BLR
AI091,Air India,CCU,MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,4.38,False,CCU - MAA
UK071,Vistara,DEL,HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,3.27,False,DEL - HYD
AI019,Air India,BOM,CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,1.03,False,BOM - CCU
UK212,Vistara,HYD,MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,0.75,False,HYD - MAA
AI146,Air India,BLR,DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,3.1,False,BLR - DEL
6F232,IndiGo,MAA,BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,1.72,False,MAA - BLR
6F084,IndiGo,CCU,HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,1.0,False,CCU - HYD
AI129,Air India,BOM,CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,3.15,False,BOM - CCU
AI240,Air India,MAA,DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,2.45,False,MAA - DEL
6F091,IndiGo,BLR,CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,1.43,False,BLR - CCU
UK133,Vistara,BOM,DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,3.2,False,BOM - DEL
SJ007,SpiceJet,BOM,CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,4.83,False,BOM - CCU
SJ141,SpiceJet,CCU,DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,3.62,False,CCU - DEL
6F049,IndiGo,HYD,DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,3.22,False,HYD - DEL
SJ235,SpiceJet,BOM,DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,3.8,False,BOM - DEL
UK087,Vistara,HYD,MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,3.47,False,HYD - MAA
UK170,Vistara,BOM,BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,1.83,False,BOM - BLR
SJ078,SpiceJet,DEL,HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,3.13,False,DEL - HYD
SJ075,SpiceJet,MAA,BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,1.62,False,MAA - BLR
AI159,Air India,HYD,BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,2.22,False,HYD - BLR
UK120,Vistara,HYD,DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,4.18,False,HYD - DEL
AI059,Air India,CCU,DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,2.45,False,CCU - DEL
UK040,Vistara,HYD,CCU,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,1.28,False,HYD - CCU
AI044,Air India,MAA,BLR,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,3.55,False,MAA - BLR
AI078,Air India,DEL,BOM,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,4.5,False,DEL - BOM
SJ226,SpiceJet,HYD,BOM,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,4.12,False,HYD - BOM
6F209,IndiGo,MAA,CCU,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,5.0,False,MAA - CCU
UK193,Vistara,HYD,DEL,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,0.58,False,HYD - DEL
6F092,IndiGo,MAA,BLR,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,0.6,False,MAA - BLR
AI208,Air India,BLR,BOM,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,3.23,False,BLR - BOM
SJ227,SpiceJet,BOM,CCU,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,4.35,False,BOM - CCU
6F238,IndiGo,BOM,DEL,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,0.8,False,BOM - DEL
AI084,Air India,BOM,HYD,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,1.25,False,BOM - HYD
SJ228,SpiceJet,BOM,CCU,2026-04-20 08:29:41.704,2026-04-20 12:16:41.704,3.78,False,BOM - CCU
UK194,Vistara,CCU,BOM,2026-04-20 08:26:41.703,2026-04-20 09:26:42.000,1.0,False,CCU - BOM
6F126,IndiGo,CCU,MAA,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,1.3,False,CCU - MAA
SJ052,SpiceJet,MAA,BLR,2026-04-20 08:20:41.701,2026-04-20 09:57:41.701,1.62,False,MAA - BLR
AI233,Air India,BLR,BOM,2026-04-20 08:04:41.704,2026-04-20 09:52:41.704,1.8,False,BLR - BOM
AI213,Air India,HYD,CCU,2026-04-20 08:03:41.703,2026-04-20 09:14:41.703,1.18,False,HYD - CCU
UK076,Vistara,MAA,CCU,2026-04-20 08:03:41.702,2026-04-20 12:26:41.702,4.38,False,MAA - CCU
SJ022,SpiceJet,DEL,BLR,2026-04-20 07:56:41.701,2026-04-20 11:07:41.701,3.18,False,DEL - BLR
SJ002,SpiceJet,DEL,BOM,2026-04-20 07:54:41.701,2026-04-20 12:40:41.701,4.77,False,DEL - BOM
AI163,Air India,HYD,MAA,2026-04-20 07:45:41.703,2026-04-20 08:46:41.703,1.02,False,HYD - MAA
UK229,Vistara,HYD,DEL,2026-04-20 07:40:41.704,2026-04-20 11:57:41.704,4.28,False,HYD - DEL
UK185,Vistara,DEL,MAA,2026-04-20 07:31:41.703,2026-04-20 08:48:41.703,1.28,False,DEL - MAA
6F029,IndiGo,BOM,BLR,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,4.23,False,BOM - BLR
6F056,IndiGo,BOM,MAA,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,1.82,False,BOM - MAA
AI062,Air India,MAA,DEL,2026-04-20 06:49:41.701,2026-04-20 07:25:41.701,0.6,False,MAA - DEL
UK034,Vistara,DEL,BLR,2026-04-20 06:47:41.701,2026-04-20 10:11:41.701,3.4,False,DEL - BLR
UK079,Vistara,DEL,BLR,2026-04-20 06:43:41.702,2026-04-20 10:34:41.702,3.85,False,DEL - BLR
AI135,Air India,BLR,BOM,2026-04-20 06:40:41.702,2026-04-20 09:21:41.702,2.68,False,BLR - BOM
SJ061,SpiceJet,MAA,BLR,2026-04-20 06:38:41.701,2026-04-20 09:35:41.701,2.95,False,MAA - BLR
AI047,Air India,CCU,MAA,2026-04-20 06:36:41.701,2026-04-20 07:23:41.701,0.78,False,CCU - MAA
UK210,Vistara,DEL,CCU,2026-04-20 06:35:41.704,2026-04-20 07:30:41.704,0.92,False,DEL - CCU
AI088,Air India,MAA,DEL,2026-04-20 06:34:41.702,2026-04-20 10:10:41.702,3.6,False,MAA - DEL
UK177,Vistara,DEL,HYD,2026-04-20 06:21:41.703,2026-04-20 10:50:41.703,4.48,False,DEL - HYD
AI128,Air India,BOM,CCU,2026-04-20 06:07:41.702,2026-04-20 10:03:41.702,3.93,False,BOM - CCU
AI158,Air India,CCU,DEL,2026-04-20 06:04:41.703,2026-04-20 09:01:41.703,2.95,False,CCU - DEL
UK206,Vistara,MAA,BLR,2026-04-20 06:01:41.703,2026-04-20 10:34:41.703,4.55,False,MAA - BLR
SJ138,SpiceJet,BLR,BOM,2026-04-20 05:55:41.702,2026-04-20 06:43:41.702,0.8,False,BLR - BOM
AI034,Air India,DEL,BOM,2026-04-20 05:48:41.701,2026-04-20 10:31:41.701,4.72,False,DEL - BOM
AI012,Air India,BOM,CCU,2026-04-20 05:44:41.701,2026-04-20 09:47:41.701,4.05,False,BOM - CCU
